,MAKE,MODEL,YEAR,Recall,Predict_Recall,Probability_Recall,complaint_count,crash_ratio,keybert_safety_score,median_mileage,complaints_first_12m,recall_count,first_complaint_date,shap_keybert_safety_score,shap_median_mileage,shap_complaints_first_12m_ratio
184,CHEVROLET,TRAVERSE,2026,1,0,0.474701633,19,0.105263158,8,500,8,1,2025-11-25,-0.845205014,0.428733354,-0.125094837
185,CHEVROLET,TRAX,2022,0,0,0.258211823,13,0.076923077,1,39500,0,,2023-02-23,-1.265124645,-0.000595246,-0.229850115
186,CHEVROLET,TRAX,2024,1,1,0.853548787,210,0.038095238,38,11190,70,1,2023-05-02,0.954450544,0.311053284,0.05691997
187,CHEVROLET,TRAX,2025,0,1,0.735079608,116,0.155172414,26,5500,80,,2024-06-10,0.234588321,0.373691226,-0.028016661
188,CHEVROLET,TRAX,2026,0,0,0.109102816,11,0,3,156000,9,,2025-12-31,-1.145147608,-1.283076835,-0.112000428
189,CHRYSLER,PACIFICA,2022,1,1,0.895676025,310,0.038709677,32,18815.5,33,9,2022-02-05,0.594519432,0.227108534,0.888163051
190,CHRYSLER,PACIFICA,2023,1,1,0.903214958,203,0.009852217,27,14000,19,13,2023-02-01,0.294576839,0.280119608,1.218485123
191,CHRYSLER,PACIFICA,2024,1,1,0.643355795,53,0.075471698,18,15000,9,10,2024-08-20,-0.245319828,0.269111182,0.125881347
192,CHRYSLER,PACIFICA,2025,1,1,0.858226946,23,0.130434783,10,23000,18,7,2025-03-08,-0.725227977,0.181043777,1.904538656
193,CHRYSLER,PACIFICA PLUG-IN HYBRID,2022,0,1,0.844589927,218,0.018348624,29,28620,28,,2022-06-10,0.414553877,0.119176425,0.718767117
194,CHRYSLER,PACIFICA PLUG-IN HYBRID,2023,0,1,0.726363134,76,0.026315789,18,9916,9,,2023-01-24,-0.245319828,0.325078018,0.456203419
195,CHRYSLER,PACIFICA PLUG-IN HYBRID,2024,0,1,0.869774916,48,0,15,9000,45,,2024-03-05,-0.425285384,0.335161736,1.548807194
196,DODGE,CHALLENGER,2022,1,0,0.338374507,10,0.1,2,10000,0,2,2023-06-05,-1.205136126,0.32415331,-0.229850115
197,DODGE,CHALLENGER,2023,1,1,0.558755869,49,0,9,0,3,2,2023-12-26,-0.785216496,0.434237567,0.146806727
198,DODGE,CHARGER,2022,1,0,0.363182472,19,0.157894737,4,11000,0,3,2023-01-27,-1.085159089,0.313144885,-0.229850115
199,DODGE,CHARGER,2023,1,0,0.480828595,39,0.076923077,13,16000,0,2,2024-03-23,-0.545262421,0.258102756,-0.229850115
200,DODGE,CHARGER,2024,1,0,0.420551936,12,0,6,0,0,2,2025-10-20,-0.965182052,0.434237567,-0.229850115
201,DODGE,CHARGER,2025,1,1,0.604562855,29,0.034482759,7,500,11,2,2025-11-01,-0.905193533,0.428733354,0.460687429
202,DODGE,CHARGER EV,2024,1,0,0.423783362,25,0,7,4246,0,1,2025-04-05,-0.905193533,0.387495792,-0.229850115
203,DODGE,CHARGER EV,2025,1,1,0.652125688,18,0.166666667,3,100,18,1,2025-06-24,-1.145147608,0.433136724,0.900120411
204,DODGE,DURANGO,2022,1,0,0.417446664,76,0.078947368,19,72000,6,6,2022-04-24,-0.18533131,-0.35836908,-0.229850115
205,DODGE,DURANGO,2023,1,0,0.362150994,41,0.097560976,12,55000,0,1,2024-10-21,-0.60525094,-0.171225844,-0.229850115
206,DODGE,DURANGO,2024,0,0,0.395299856,17,0,6,9500,0,,2025-02-13,-0.965182052,0.329657523,-0.229850115
207,DODGE,DURANGO,2025,0,0,0.409298354,11,0,0,28,5,,2025-07-11,-1.325113163,0.433929331,0.084030587
208,DODGE,DURANGO,2026,0,1,0.667091753,10,0.3,2,0,10,,2026-03-19,-1.205136126,0.434237567,1.025672692
209,DODGE,HORNET,2023,1,1,0.805317925,47,0.106382979,15,5000,10,4,2023-08-16,-0.425285384,0.379195439,1.025672692
210,DODGE,HORNET,2024,1,1,0.917601449,100,0.04,27,10000,20,6,2024-02-02,0.294576839,0.32415331,1.351178605
211,DODGE,HORNET PHEV,2024,1,0,0.476225571,12,0.25,2,8000,7,1,2024-05-09,-1.205136126,0.346170162,0.323509937
212,FORD,BRONCO,2022,1,1,0.860966084,440,0.022727273,43,30500,72,21,2022-03-03,1.254393137,0.098480584,0.030176944
213,FORD,BRONCO,2023,1,1,0.849202352,250,0.032,34,10821,124,16,2022-12-30,0.71449647,0.315115393,0.258460232
214,FORD,BRONCO,2024,1,1,0.779889155,92,0.097826087,32,6000,13,14,2024-03-19,0.594519432,0.368187013,-0.137972452
215,FORD,BRONCO,2025,1,1,0.625393545,52,0.153846154,19,7850,24,16,2025-04-18,-0.18533131,0.347821425,-0.090271557
216,FORD,BRONCO SPORT,2022,1,1,0.814505473,463,0.041036717,38,23000,37,15,2022-02-17,0.954450544,0.181043777,-0.096225098
217,FORD,BRONCO SPORT,2023,1,1,0.735183038,185,0.037837838,30,17500,24,14,2023-02-27,0.474542395,0.241590118,-0.135338435
218,FORD,BRONCO SPORT,2024,1,1,0.746672479,120,0.058333333,29,7015.5,14,8,2024-03-06,0.414553877,0.357007957,-0.13090494
219,FORD,BRONCO SPORT,2025,1,1,0.514774847,19,0.157894737,13,10000,12,7,2025-03-11,-0.545262421,0.32415331,-0.160060836
220,FORD,E-350,2022,1,1,0.508269393,20,0,13,8650,8,3,2021-12-27,-0.545262421,0.339014685,-0.200958219
221,FORD,E-450,2022,1,0,0.461157346,22,0,9,4000,8,3,2022-03-22,-0.785216496,0.390203864,-0.200958219
222,FORD,ECOSPORT,2022,1,0,0.333502322,12,0.166666667,3,18417.5,3,2,2022-09-29,-1.145147608,0.231489887,-0.219015654
223,FORD,EDGE,2022,1,1,0.628016658,145,0.068965517,30,60000,18,5,2022-05-05,0.474542395,-0.226267972,-0.16484335
224,FORD,EDGE,2023,1,0,0.4054244,24,0.083333333,6,7457.5,5,4,2023-07-05,-0.965182052,0.352142233,-0.210160181
225,FORD,EDGE,2024,1,1,0.542791234,46,0.130434783,13,5000,18,2,2023-09-22,-0.545262421,0.379195439,-0.10263489
226,FORD,ESCAPE,2022,1,1,0.759911472,275,0.036363636,35,29500,16,19,2022-05-09,0.774484988,0.10948901,-0.172066324
227,FORD,ESCAPE,2023,1,1,0.762596468,138,0.028985507,32,13000,18,11,2023-08-18,0.594519432,0.291128033,-0.158966355
228,FORD,ESCAPE,2024,1,1,0.675844727,132,0.015151515,25,11531,6,8,2024-05-19,0.174599802,0.307299411,-0.18744504
229,FORD,ESCAPE,2025,1,0,0.36821103,29,0,2,5000,13,9,2025-06-27,-1.205136126,0.379195439,-0.154245063
230,FORD,ESCAPE HYBRID,2022,0,0,0.49269884,79,0.063291139,16,30000,6,,2022-07-02,-0.365296865,0.103984797,-0.208181193
231,FORD,ESCAPE HYBRID,2023,0,0,0.487024232,32,0.0625,11,6425,10,,2023-06-02,-0.665239459,0.363508432,-0.190470248
232,FORD,ESCAPE PHEV,2022,1,1,0.539645891,98,0.020408163,14,700,2,2,2022-07-23,-0.485273903,0.426531669,-0.222627141
233,FORD,EXPEDITION,2022,1,1,0.733463575,151,0.046357616,33,30000,12,10,2022-08-18,0.654507951,0.103984797,-0.186512272
234,FORD,EXPEDITION,2023,1,1,0.675063189,82,0.085365854,26,18818,15,7,2023-04-26,0.234588321,0.227081013,-0.170780315
235,FORD,EXPEDITION,2024,1,1,0.730648954,101,0.099009901,29,12631.5,11,6,2024-05-10,0.414553877,0.295184638,-0.152107477
236,FORD,EXPEDITION,2025,1,1,0.548353845,35,0.142857143,13,2500,21,5,2025-07-07,-0.545262421,0.406716503,-0.107718877
237,FORD,EXPLORER,2022,1,1,0.838823445,320,0.078125,42,31000,42,23,2022-04-19,1.194404619,0.092976372,-0.078167664
238,FORD,EXPLORER,2023,1,1,0.783833897,132,0.083333333,32,7000,32,14,2023-03-25,0.594519432,0.357178587,-0.103834541
239,FORD,EXPLORER,2024,1,0,0.429866524,22,0,6,3600,11,8,2024-04-09,-0.965182052,0.394607235,-0.152107477
240,FORD,EXPLORER,2025,1,1,0.811924827,120,0.091666667,28,2289,84,17,2024-10-22,0.354565358,0.409039281,0.258674836
241,FORD,EXPLORER,2026,1,1,0.625891368,13,0,11,10000,13,8,2026-03-31,-0.665239459,0.32415331,0.415430211
242,FORD,F-150,2022,1,1,0.883306638,741,0.039136302,46,25000,61,22,2022-01-24,1.434358693,0.159026926,-0.009549412
243,FORD,F-150,2023,1,1,0.875030326,538,0.05204461,43,18614,64,11,2023-03-30,1.254393137,0.229326732,0.022181032
244,FORD,F-150,2024,1,1,0.80792975,230,0.139130435,33,4850,27,10,2024-05-23,0.654507951,0.380846702,-0.039027277
245,FORD,F-150,2025,1,1,0.816758946,141,0.063829787,30,5000,74,12,2025-03-30,0.474542395,0.379195439,0.200517104
246,FORD,F-150 HYBRID,2022,0,1,0.769523994,286,0.031468531,32,16500,41,,2022-03-24,0.594519432,0.252598544,-0.081779151
247,FORD,F-150 HYBRID,2023,0,1,0.760519543,136,0.014705882,29,12000,58,,2023-05-03,0.414553877,0.302136459,-0.001446888
248,FORD,F-150 HYBRID,2024,0,1,0.603869483,42,0.142857143,18,5040,11,,2024-09-12,-0.245319828,0.378755102,-0.152107477
249,FORD,F-150 HYBRID,2025,1,1,0.584399253,26,0,15,60,21,2,2025-02-20,-0.425285384,0.433577061,-0.107718877
250,FORD,F-150 LIGHTNING BEV,2022,1,1,0.685080963,135,0.059259259,26,12550,10,9,2022-09-19,0.234588321,0.296081825,-0.193735245
251,FORD,F-150 LIGHTNING BEV,2023,1,1,0.640732402,175,0.068571429,21,9729,27,9,2023-02-16,-0.065354272,0.327136594,-0.123524475
252,FORD,F-150 LIGHTNING BEV,2024,1,0,0.488391529,31,0.161290323,15,28000,6,4,2024-10-04,-0.425285384,0.126001649,-0.18744504
253,FORD,F-250,2022,1,1,0.643301559,142,0.028169014,27,37000,16,,2022-03-29,0.294576839,0.026925818,-0.172066324
254,FORD,F-250 SD,2023,1,1,0.618422386,75,0.053333333,18,1000,24,15,2023-09-08,-0.245319828,0.423229141,-0.135338435
255,FORD,F-250 SD,2024,1,1,0.715102262,49,0.06122449,27,7500,9,3,2024-01-03,0.294576839,0.351674374,-0.166242502
256,FORD,F-250 SD,2025,1,0,0.460966393,16,0.1875,9,6200,9,6,2025-07-12,-0.785216496,0.365985328,-0.177508156
